"X","gene","timepoint"
451,"HORVU.MOREX.r2.6HG0526100","32H"
452,"HORVU.MOREX.r2.1HG0030810","32H"
453,"HORVU.MOREX.r2.7HG0611940","32H"
454,"HORVU.MOREX.r2.4HG0331010","32H"
455,"HORVU.MOREX.r2.3HG0182960","32H"
456,"HORVU.MOREX.r2.6HG0517880","32H"
457,"HORVU.MOREX.r2.4HG0332540","32H"
458,"HORVU.MOREX.r2.3HG0229090","32H"
459,"HORVU.MOREX.r2.4HG0277590","32H"
460,"HORVU.MOREX.r2.7HG0603630","32H"
461,"HORVU.MOREX.r2.4HG0281140","32H"
462,"HORVU.MOREX.r2.2HG0161480","32H"
463,"HORVU.MOREX.r2.3HG0229440","32H"
464,"HORVU.MOREX.r2.6HG0499630","32H"
465,"HORVU.MOREX.r2.1HG0055750","32H"
466,"HORVU.MOREX.r2.5HG0370130","32H"
467,"HORVU.MOREX.r2.3HG0244180","32H"
468,"HORVU.MOREX.r2.4HG0316020","32H"
469,"HORVU.MOREX.r2.7HG0554930","32H"
470,"HORVU.MOREX.r2.4HG0346800","32H"
471,"HORVU.MOREX.r2.1HG0040620","32H"
472,"HORVU.MOREX.r2.6HG0474660","32H"
473,"HORVU.MOREX.r2.2HG0146520","32H"
474,"HORVU.MOREX.r2.4HG0332240","32H"
475,"HORVU.MOREX.r2.1HG0075340","32H"
476,"HORVU.MOREX.r2.6HG0526090","32H"
477,"HORVU.MOREX.r2.7HG0547010","32H"
478,"HORVU.MOREX.r2.7HG0596110","32H"
479,"HORVU.MOREX.r2.2HG0097620","32H"
480,"HORVU.MOREX.r2.2HG0085770","32H"
481,"HORVU.MOREX.r2.4HG0338770","32H"
482,"HORVU.MOREX.r2.5HG0421380","32H"
483,"HORVU.MOREX.r2.7HG0588800","32H"
484,"HORVU.MOREX.r2.7HG0595370","32H"
485,"HORVU.MOREX.r2.3HG0207940","32H"
486,"HORVU.MOREX.r2.6HG0491650","32H"
487,"HORVU.MOREX.r2.5HG0432560","32H"
488,"HORVU.MOREX.r2.3HG0255040","32H"
489,"HORVU.MOREX.r2.6HG0499340","32H"
490,"HORVU.MOREX.r2.6HG0451420","32H"
491,"HORVU.MOREX.r2.4HG0338720","32H"
492,"HORVU.MOREX.r2.2HG0140950","32H"
493,"HORVU.MOREX.r2.7HG0552630","32H"
494,"HORVU.MOREX.r2.5HG0443540","32H"
495,"HORVU.MOREX.r2.7HG0552980","32H"
496,"HORVU.MOREX.r2.4HG0327690","32H"
497,"HORVU.MOREX.r2.3HG0189640","32H"
498,"HORVU.MOREX.r2.4HG0330730","32H"
499,"HORVU.MOREX.r2.6HG0507060","32H"
500,"HORVU.MOREX.r2.5HG0367090","32H"
501,"HORVU.MOREX.r2.2HG0125150","32H"
502,"HORVU.MOREX.r2.3HG0271220","32H"
503,"HORVU.MOREX.r2.3HG0194350","32H"
504,"HORVU.MOREX.r2.4HG0345170","32H"
505,"HORVU.MOREX.r2.5HG0402170","32H"
506,"HORVU.MOREX.r2.5HG0394350","32H"
507,"HORVU.MOREX.r2.7HG0543400","32H"
508,"HORVU.MOREX.r2.1HG0031080","32H"
509,"HORVU.MOREX.r2.7HG0611330","32H"
510,"HORVU.MOREX.r2.3HG0263950","32H"
511,"HORVU.MOREX.r2.1HG0027190","32H"
512,"HORVU.MOREX.r2.4HG0279310","32H"
513,"HORVU.MOREX.r2.5HG0380330","32H"
514,"HORVU.MOREX.r2.4HG0346270","32H"
515,"HORVU.MOREX.r2.1HG0070800","32H"
516,"HORVU.MOREX.r2.2HG0162870","32H"
517,"HORVU.MOREX.r2.7HG0589580","32H"
518,"HORVU.MOREX.r2.2HG0127140","32H"
519,"HORVU.MOREX.r2.2HG0143540","32H"
520,"HORVU.MOREX.r2.1HG0045900","32H"
521,"HORVU.MOREX.r2.4HG0281440","32H"
522,"HORVU.MOREX.r2.4HG0283360","32H"
523,"HORVU.MOREX.r2.4HG0326520","32H"
524,"HORVU.MOREX.r2.5HG0366990","32H"
525,"HORVU.MOREX.r2.6HG0474510","32H"
526,"HORVU.MOREX.r2.7HG0583650","32H"
527,"HORVU.MOREX.r2.6HG0522630","32H"
528,"HORVU.MOREX.r2.6HG0495710","32H"
529,"HORVU.MOREX.r2.3HG0207310","32H"
530,"HORVU.MOREX.r2.2HG0153280","32H"
531,"HORVU.MOREX.r2.4HG0289650","32H"
532,"HORVU.MOREX.r2.2HG0095990","32H"
533,"HORVU.MOREX.r2.5HG0409340","32H"
534,"HORVU.MOREX.r2.7HG0597690","32H"
535,"HORVU.MOREX.r2.2HG0135370","32H"
536,"HORVU.MOREX.r2.2HG0151300","32H"
537,"HORVU.MOREX.r2.5HG0388480","32H"
538,"HORVU.MOREX.r2.7HG0541620","32H"
539,"HORVU.MOREX.r2.3HG0256300","32H"
540,"HORVU.MOREX.r2.3HG0202580","32H"
541,"HORVU.MOREX.r2.1HG0046970","32H"
542,"HORVU.MOREX.r2.5HG0401950","32H"
543,"HORVU.MOREX.r2.5HG0382860","32H"
544,"HORVU.MOREX.r2.6HG0522850","32H"
545,"HORVU.MOREX.r2.7HG0592300","32H"
546,"HORVU.MOREX.r2.1HG0042370","32H"
547,"HORVU.MOREX.r2.2HG0156210","32H"
548,"HORVU.MOREX.r2.6HG0524960","32H"
549,"HORVU.MOREX.r2.2HG0088020","32H"
550,"HORVU.MOREX.r2.1HG0009540","32H"
551,"HORVU.MOREX.r2.3HG0195810","32H"
552,"HORVU.MOREX.r2.7HG0603950","32H"
553,"HORVU.MOREX.r2.1HG0018930","32H"
554,"HORVU.MOREX.r2.2HG0166910","32H"
555,"HORVU.MOREX.r2.5HG0382520","32H"
556,"HORVU.MOREX.r2.2HG0170870","32H"
557,"HORVU.MOREX.r2.3HG0229040","32H"
558,"HORVU.MOREX.r2.7HG0537910","32H"
559,"HORVU.MOREX.r2.6HG0508490","32H"
560,"HORVU.MOREX.r2.3HG0246030","32H"
561,"HORVU.MOREX.r2.2HG0153520","32H"
562,"HORVU.MOREX.r2.3HG0191370","32H"
563,"HORVU.MOREX.r2.5HG0416270","32H"
564,"HORVU.MOREX.r2.6HG0505700","32H"
565,"HORVU.MOREX.r2.7HG0597800","32H"
566,"HORVU.MOREX.r2.3HG0260380","32H"
567,"HORVU.MOREX.r2.7HG0582470","32H"
568,"HORVU.MOREX.r2.7HG0565430","32H"
569,"HORVU.MOREX.r2.5HG0439110","32H"
570,"HORVU.MOREX.r2.2HG0102770","32H"
571,"HORVU.MOREX.r2.2HG0093320","32H"
572,"HORVU.MOREX.r2.4HG0281090","32H"
573,"HORVU.MOREX.r2.5HG0381850","32H"
574,"HORVU.MOREX.r2.3HG0224350","32H"
575,"HORVU.MOREX.r2.7HG0598010","32H"
576,"HORVU.MOREX.r2.7HG0620940","32H"
577,"HORVU.MOREX.r2.3HG0202130","32H"
578,"HORVU.MOREX.r2.3HG0220000","32H"
579,"HORVU.MOREX.r2.2HG0097170","32H"
580,"HORVU.MOREX.r2.3HG0241800","32H"
581,"HORVU.MOREX.r2.6HG0505580","32H"
582,"HORVU.MOREX.r2.6HG0461610","32H"
583,"HORVU.MOREX.r2.2HG0104780","32H"
584,"HORVU.MOREX.r2.7HG0542350","32H"
585,"HORVU.MOREX.r2.4HG0294660","32H"
586,"HORVU.MOREX.r2.3HG0195800","32H"
587,"HORVU.MOREX.r2.3HG0212560","32H"
588,"HORVU.MOREX.r2.1HG0045370","32H"
589,"HORVU.MOREX.r2.1HG0042250","32H"
590,"HORVU.MOREX.r2.5HG0412940","32H"
591,"HORVU.MOREX.r2.6HG0520490","32H"
592,"HORVU.MOREX.r2.5HG0380200","32H"
593,"HORVU.MOREX.r2.2HG0154400","32H"
594,"HORVU.MOREX.r2.3HG0261530","32H"
595,"HORVU.MOREX.r2.5HG0413450","32H"
596,"HORVU.MOREX.r2.2HG0148270","32H"
597,"HORVU.MOREX.r2.5HG0429900","32H"
598,"HORVU.MOREX.r2.5HG0435670","32H"
599,"HORVU.MOREX.r2.2HG0158800","32H"
600,"HORVU.MOREX.r2.4HG0285160","32H"
601,"HORVU.MOREX.r2.4HG0299440","32H"
602,"HORVU.MOREX.r2.4HG0325430","32H"
603,"HORVU.MOREX.r2.2HG0154390","32H"
604,"HORVU.MOREX.r2.6HG0509770","32H"
605,"HORVU.MOREX.r2.4HG0316370","32H"
606,"HORVU.MOREX.r2.6HG0471220","32H"
607,"HORVU.MOREX.r2.7HG0529600","32H"
608,"HORVU.MOREX.r2.1HG0013170","32H"
609,"HORVU.MOREX.r2.5HG0383530","32H"
610,"HORVU.MOREX.r2.5HG0355080","32H"
611,"HORVU.MOREX.r2.3HG0191610","32H"
612,"HORVU.MOREX.r2.2HG0160580","32H"
613,"HORVU.MOREX.r2.4HG0325660","32H"
614,"HORVU.MOREX.r2.3HG0210900","32H"
615,"HORVU.MOREX.r2.6HG0471110","32H"
616,"HORVU.MOREX.r2.4HG0286480","32H"
617,"HORVU.MOREX.r2.2HG0110440","32H"
618,"HORVU.MOREX.r2.4HG0294890","32H"
619,"HORVU.MOREX.r2.2HG0130750","32H"
620,"HORVU.MOREX.r2.5HG0372420","32H"
621,"HORVU.MOREX.r2.2HG0128610","32H"
622,"HORVU.MOREX.r2.5HG0445190","32H"
623,"HORVU.MOREX.r2.6HG0477820","32H"
624,"HORVU.MOREX.r2.6HG0490720","32H"
625,"HORVU.MOREX.r2.7HG0567610","32H"
626,"HORVU.MOREX.r2.7HG0596640","32H"
627,"HORVU.MOREX.r2.5HG0390620","32H"
628,"HORVU.MOREX.r2.2HG0123030","32H"
629,"HORVU.MOREX.r2.7HG0612690","32H"
630,"HORVU.MOREX.r2.5HG0380720","32H"
631,"HORVU.MOREX.r2.2HG0111150","32H"
632,"HORVU.MOREX.r2.4HG0277910","32H"
633,"HORVU.MOREX.r2.6HG0485700","32H"
634,"HORVU.MOREX.r2.7HG0568570","32H"
635,"HORVU.MOREX.r2.4HG0345900","32H"
636,"HORVU.MOREX.r2.2HG0142800","32H"
637,"HORVU.MOREX.r2.4HG0288360","32H"
638,"HORVU.MOREX.r2.3HG0253450","32H"
639,"HORVU.MOREX.r2.1HG0046680","32H"
640,"HORVU.MOREX.r2.3HG0241720","32H"
641,"HORVU.MOREX.r2.4HG0317760","32H"
642,"HORVU.MOREX.r2.7HG0538610","32H"
643,"HORVU.MOREX.r2.1HG0032360","32H"
644,"HORVU.MOREX.r2.4HG0344460","32H"
645,"HORVU.MOREX.r2.4HG0307650","32H"
646,"HORVU.MOREX.r2.2HG0112010","32H"
647,"HORVU.MOREX.r2.6HG0496920","32H"
648,"HORVU.MOREX.r2.6HG0510290","32H"
649,"HORVU.MOREX.r2.7HG0548870","32H"
650,"HORVU.MOREX.r2.2HG0134610","32H"
651,"HORVU.MOREX.r2.3HG0227780","32H"
652,"HORVU.MOREX.r2.2HG0135150","32H"
653,"HORVU.MOREX.r2.6HG0524680","32H"
654,"HORVU.MOREX.r2.7HG0535160","32H"
655,"HORVU.MOREX.r2.6HG0515910","32H"
656,"HORVU.MOREX.r2.6HG0475090","32H"
657,"HORVU.MOREX.r2.5HG0364690","32H"
658,"HORVU.MOREX.r2.6HG0491890","32H"
659,"HORVU.MOREX.r2.3HG0239860","32H"
660,"HORVU.MOREX.r2.3HG0260780","32H"
661,"HORVU.MOREX.r2.3HG0202210","32H"
662,"HORVU.MOREX.r2.7HG0550060","32H"
663,"HORVU.MOREX.r2.3HG0217510","32H"
664,"HORVU.MOREX.r2.7HG0596950","32H"
665,"HORVU.MOREX.r2.1HG0057610","32H"
666,"HORVU.MOREX.r2.3HG0195630","32H"
667,"HORVU.MOREX.r2.4HG0295230","32H"
668,"HORVU.MOREX.r2.2HG0129130","32H"
669,"HORVU.MOREX.r2.1HG0059040","32H"
670,"HORVU.MOREX.r2.3HG0265900","32H"
671,"HORVU.MOREX.r2.3HG0203020","32H"
672,"HORVU.MOREX.r2.7HG0582910","32H"
673,"HORVU.MOREX.r2.4HG0287380","32H"
674,"HORVU.MOREX.r2.3HG0239150","32H"
675,"HORVU.MOREX.r2.1HG0044670","32H"
676,"HORVU.MOREX.r2.1HG0035810","32H"
677,"HORVU.MOREX.r2.1HG0016720","32H"
678,"HORVU.MOREX.r2.4HG0338350","32H"
679,"HORVU.MOREX.r2.7HG0542650","32H"
680,"HORVU.MOREX.r2.6HG0472380","32H"
681,"HORVU.MOREX.r2.3HG0272400","32H"
682,"HORVU.MOREX.r2.3HG0224430","32H"
683,"HORVU.MOREX.r2.2HG0096580","32H"
684,"HORVU.MOREX.r2.4HG0287250","32H"
685,"HORVU.MOREX.r2.1HG0012450","32H"
686,"HORVU.MOREX.r2.4HG0297320","32H"
687,"HORVU.MOREX.r2.7HG0601740","32H"
688,"HORVU.MOREX.r2.5HG0395410","32H"
689,"HORVU.MOREX.r2.7HG0587440","32H"
690,"HORVU.MOREX.r2.2HG0176040","32H"
691,"HORVU.MOREX.r2.4HG0292620","32H"
692,"HORVU.MOREX.r2.2HG0094680","32H"
693,"HORVU.MOREX.r2.2HG0163110","32H"
694,"HORVU.MOREX.r2.1HG0062100","32H"
695,"HORVU.MOREX.r2.2HG0130920","32H"
696,"HORVU.MOREX.r2.4HG0293200","32H"
697,"HORVU.MOREX.r2.1HG0078740","32H"
698,"HORVU.MOREX.r2.1HG0024140","32H"
699,"HORVU.MOREX.r2.5HG0355940","32H"
700,"HORVU.MOREX.r2.3HG0251670","32H"
701,"HORVU.MOREX.r2.7HG0538650","32H"
702,"HORVU.MOREX.r2.3HG0202290","32H"
703,"HORVU.MOREX.r2.3HG0230060","32H"
704,"HORVU.MOREX.r2.3HG0209460","32H"
705,"HORVU.MOREX.r2.3HG0248560","32H"
706,"HORVU.MOREX.r2.1HG0063130","32H"
707,"HORVU.MOREX.r2.4HG0323700","32H"
708,"HORVU.MOREX.r2.4HG0276150","32H"
709,"HORVU.MOREX.r2.3HG0240830","32H"
710,"HORVU.MOREX.r2.2HG0173980","32H"
711,"HORVU.MOREX.r2.7HG0620680","32H"
712,"HORVU.MOREX.r2.4HG0280020","32H"
713,"HORVU.MOREX.r2.1HG0018010","32H"
714,"HORVU.MOREX.r2.1HG0066990","32H"
715,"HORVU.MOREX.r2.7HG0599500","32H"
716,"HORVU.MOREX.r2.4HG0275920","32H"
717,"HORVU.MOREX.r2.3HG0232440","32H"
718,"HORVU.MOREX.r2.2HG0153640","32H"
719,"HORVU.MOREX.r2.3HG0273240","32H"
720,"HORVU.MOREX.r2.1HG0051240","32H"
721,"HORVU.MOREX.r2.7HG0619460","32H"
722,"HORVU.MOREX.r2.5HG0391720","32H"
723,"HORVU.MOREX.r2.7HG0618650","32H"
724,"HORVU.MOREX.r2.5HG0425750","32H"
725,"HORVU.MOREX.r2.4HG0284690","32H"
726,"HORVU.MOREX.r2.3HG0194570","32H"
727,"HORVU.MOREX.r2.1HG0033960","32H"
728,"HORVU.MOREX.r2.2HG0174870","32H"
729,"HORVU.MOREX.r2.7HG0581680","32H"
730,"HORVU.MOREX.r2.3HG0249830","32H"
731,"HORVU.MOREX.r2.5HG0429370","32H"
732,"HORVU.MOREX.r2.3HG0191270","32H"
733,"HORVU.MOREX.r2.6HG0520850","32H"
734,"HORVU.MOREX.r2.2HG0177210","32H"
735,"HORVU.MOREX.r2.1HG0019310","32H"
736,"HORVU.MOREX.r2.4HG0325290","32H"
737,"HORVU.MOREX.r2.1HG0012680","32H"
738,"HORVU.MOREX.r2.6HG0475080","32H"
739,"HORVU.MOREX.r2.7HG0551060","32H"
740,"HORVU.MOREX.r2.1HG0052400","32H"
741,"HORVU.MOREX.r2.3HG0236590","32H"
742,"HORVU.MOREX.r2.7HG0546630","32H"
743,"HORVU.MOREX.r2.2HG0167320","32H"
744,"HORVU.MOREX.r2.2HG0166680","32H"
745,"HORVU.MOREX.r2.3HG0233040","32H"
746,"HORVU.MOREX.r2.6HG0517570","32H"
747,"HORVU.MOREX.r2.6HG0459250","32H"
748,"HORVU.MOREX.r2.2HG0150540","32H"
749,"HORVU.MOREX.r2.7HG0587300","32H"
750,"HORVU.MOREX.r2.4HG0281890","32H"
751,"HORVU.MOREX.r2.5HG0421310","32H"
752,"HORVU.MOREX.r2.2HG0109440","32H"
753,"HORVU.MOREX.r2.4HG0299540","32H"
754,"HORVU.MOREX.r2.2HG0159660","32H"
755,"HORVU.MOREX.r2.6HG0494390","32H"
756,"HORVU.MOREX.r2.2HG0146780","32H"
757,"HORVU.MOREX.r2.4HG0346550","32H"
758,"HORVU.MOREX.r2.4HG0310860","32H"
759,"HORVU.MOREX.r2.2HG0114130","32H"
760,"HORVU.MOREX.r2.5HG0349820","32H"
761,"HORVU.MOREX.r2.3HG0206270","32H"
762,"HORVU.MOREX.r2.1HG0052210","32H"
763,"HORVU.MOREX.r2.7HG0589460","32H"
764,"HORVU.MOREX.r2.5HG0382660","32H"
765,"HORVU.MOREX.r2.1HG0075200","32H"
766,"HORVU.MOREX.r2.3HG0236810","32H"
767,"HORVU.MOREX.r2.7HG0550730","32H"
768,"HORVU.MOREX.r2.5HG0441530","32H"
769,"HORVU.MOREX.r2.7HG0591910","32H"
770,"HORVU.MOREX.r2.2HG0139120","32H"
771,"HORVU.MOREX.r2.7HG0574980","32H"
772,"HORVU.MOREX.r2.4HG0295930","32H"
773,"HORVU.MOREX.r2.3HG0212420","32H"
774,"HORVU.MOREX.r2.1HG0049650","32H"
775,"HORVU.MOREX.r2.7HG0544560","32H"
776,"HORVU.MOREX.r2.2HG0117890","32H"
777,"HORVU.MOREX.r2.4HG0329930","32H"
778,"HORVU.MOREX.r2.6HG0494420","32H"
779,"HORVU.MOREX.r2.7HG0599290","32H"
780,"HORVU.MOREX.r2.1HG0036820","32H"
781,"HORVU.MOREX.r2.2HG0178960","32H"
782,"HORVU.MOREX.r2.7HG0599900","32H"
783,"HORVU.MOREX.r2.4HG0318680","32H"
784,"HORVU.MOREX.r2.3HG0268540","32H"
785,"HORVU.MOREX.r2.5HG0390420","32H"
786,"HORVU.MOREX.r2.5HG0370720","32H"
787,"HORVU.MOREX.r2.1HG0017110","32H"
788,"HORVU.MOREX.r2.6HG0458820","32H"
789,"HORVU.MOREX.r2.3HG0222450","32H"
790,"HORVU.MOREX.r2.2HG0098430","32H"
791,"HORVU.MOREX.r2.5HG0349880","32H"
792,"HORVU.MOREX.r2.2HG0112770","32H"
793,"HORVU.MOREX.r2.1HG0058040","32H"
794,"HORVU.MOREX.r2.1HG0046180","32H"
795,"HORVU.MOREX.r2.3HG0208760","32H"
796,"HORVU.MOREX.r2.4HG0286100","32H"
797,"HORVU.MOREX.r2.1HG0052160","32H"
798,"HORVU.MOREX.r2.4HG0347300","32H"
799,"HORVU.MOREX.r2.5HG0392060","32H"
800,"HORVU.MOREX.r2.3HG0230210","32H"
801,"HORVU.MOREX.r2.6HG0485900","32H"
802,"HORVU.MOREX.r2.5HG0401910","32H"
803,"HORVU.MOREX.r2.1HG0067240","32H"
804,"HORVU.MOREX.r2.7HG0549740","32H"
805,"HORVU.MOREX.r2.2HG0087900","32H"
806,"HORVU.MOREX.r2.1HG0037070","32H"
807,"HORVU.MOREX.r2.1HG0006290","32H"
808,"HORVU.MOREX.r2.7HG0596360","32H"
809,"HORVU.MOREX.r2.2HG0176780","32H"
810,"HORVU.MOREX.r2.1HG0053940","32H"
811,"HORVU.MOREX.r2.6HG0504940","32H"
812,"HORVU.MOREX.r2.5HG0428950","32H"
813,"HORVU.MOREX.r2.2HG0162900","32H"
814,"HORVU.MOREX.r2.4HG0337610","32H"
815,"HORVU.MOREX.r2.5HG0353930","32H"
816,"HORVU.MOREX.r2.1HG0073250","32H"
817,"HORVU.MOREX.r2.2HG0152600","32H"
818,"HORVU.MOREX.r2.2HG0151170","32H"
819,"HORVU.MOREX.r2.1HG0035260","32H"
820,"HORVU.MOREX.r2.7HG0593060","32H"
821,"HORVU.MOREX.r2.3HG0250250","32H"
822,"HORVU.MOREX.r2.4HG0316250","32H"
823,"HORVU.MOREX.r2.4HG0291710","32H"
824,"HORVU.MOREX.r2.6HG0490630","32H"
825,"HORVU.MOREX.r2.5HG0422460","32H"
826,"HORVU.MOREX.r2.7HG0561050","32H"
827,"HORVU.MOREX.r2.7HG0586220","32H"
828,"HORVU.MOREX.r2.2HG0141130","32H"
829,"HORVU.MOREX.r2.7HG0563540","32H"
830,"HORVU.MOREX.r2.3HG0253010","32H"
831,"HORVU.MOREX.r2.4HG0316540","32H"
832,"HORVU.MOREX.r2.7HG0613400","32H"
833,"HORVU.MOREX.r2.2HG0148780","32H"
834,"HORVU.MOREX.r2.1HG0030110","32H"
835,"HORVU.MOREX.r2.6HG0462450","32H"
836,"HORVU.MOREX.r2.2HG0162060","32H"
837,"HORVU.MOREX.r2.4HG0314480","32H"
838,"HORVU.MOREX.r2.7HG0564400","32H"
839,"HORVU.MOREX.r2.5HG0410170","32H"
840,"HORVU.MOREX.r2.4HG0302220","32H"
841,"HORVU.MOREX.r2.1HG0010640","32H"
842,"HORVU.MOREX.r2.3HG0273250","32H"
843,"HORVU.MOREX.r2.3HG0260430","32H"
844,"HORVU.MOREX.r2.6HG0481300","32H"
845,"HORVU.MOREX.r2.4HG0276280","32H"
846,"HORVU.MOREX.r2.4HG0326830","32H"
847,"HORVU.MOREX.r2.4HG0279770","32H"
848,"HORVU.MOREX.r2.2HG0175120","32H"
849,"HORVU.MOREX.r2.2HG0127360","32H"
850,"HORVU.MOREX.r2.4HG0309180","32H"
851,"HORVU.MOREX.r2.1HG0008420","32H"
852,"HORVU.MOREX.r2.3HG0268690","32H"
853,"HORVU.MOREX.r2.7HG0600110","32H"
854,"HORVU.MOREX.r2.2HG0095650","32H"
855,"HORVU.MOREX.r2.4HG0337480","32H"
856,"HORVU.MOREX.r2.6HG0479000","32H"
857,"HORVU.MOREX.r2.5HG0384050","32H"
858,"HORVU.MOREX.r2.2HG0111090","32H"
859,"HORVU.MOREX.r2.4HG0338820","32H"
860,"HORVU.MOREX.r2.6HG0503590","32H"
861,"HORVU.MOREX.r2.1HG0061590","32H"
862,"HORVU.MOREX.r2.7HG0583450","32H"
863,"HORVU.MOREX.r2.2HG0126290","32H"
864,"HORVU.MOREX.r2.2HG0102570","32H"
865,"HORVU.MOREX.r2.5HG0416410","32H"
866,"HORVU.MOREX.r2.5HG0367400","32H"
867,"HORVU.MOREX.r2.1HG0041270","32H"
868,"HORVU.MOREX.r2.3HG0212790","32H"
869,"HORVU.MOREX.r2.5HG0402060","32H"
870,"HORVU.MOREX.r2.6HG0495360","32H"
871,"HORVU.MOREX.r2.4HG0322370","32H"
872,"HORVU.MOREX.r2.5HG0354400","32H"
873,"HORVU.MOREX.r2.6HG0510600","32H"
874,"HORVU.MOREX.r2.4HG0333460","32H"
875,"HORVU.MOREX.r2.1HG0059900","32H"
876,"HORVU.MOREX.r2.3HG0255940","32H"
877,"HORVU.MOREX.r2.5HG0441250","32H"
878,"HORVU.MOREX.r2.2HG0140410","32H"
879,"HORVU.MOREX.r2.1HG0003280","32H"
880,"HORVU.MOREX.r2.3HG0195850","32H"
881,"HORVU.MOREX.r2.2HG0095580","32H"
882,"HORVU.MOREX.r2.2HG0094020","32H"
883,"HORVU.MOREX.r2.1HG0072450","32H"
884,"HORVU.MOREX.r2.2HG0169760","32H"
885,"HORVU.MOREX.r2.4HG0341540","32H"
886,"HORVU.MOREX.r2.1HG0016430","32H"
887,"HORVU.MOREX.r2.4HG0322380","32H"
888,"HORVU.MOREX.r2.1HG0003210","32H"
889,"HORVU.MOREX.r2.2HG0155860","32H"
890,"HORVU.MOREX.r2.6HG0486870","32H"
891,"HORVU.MOREX.r2.4HG0342680","32H"
892,"HORVU.MOREX.r2.1HG0008380","32H"
893,"HORVU.MOREX.r2.1HG0019700","32H"
894,"HORVU.MOREX.r2.1HG0033820","32H"
895,"HORVU.MOREX.r2.3HG0252960","32H"
896,"HORVU.MOREX.r2.4HG0325150","32H"
897,"HORVU.MOREX.r2.7HG0537800","32H"
898,"HORVU.MOREX.r2.3HG0242880","32H"
